congestiegebied_afname;congestiegebied_opwek;afname;opwek;tennet_id
Zuid-Holland;Zuid-Holland;2;0;Station Gouda 150 kV
Limburg;Limburg;3;3;Station Graetheide 150 kV
Groningen West;GDO, Noordelijk deelgebied;3;3;Station Groningen Bloemsingel 110 kV
Groningen West;GDO, Noordelijk deelgebied;3;3;Station Groningen Bornholmstraat 110 kV
Groningen West;GDO, Noordelijk deelgebied;3;3;Station Groningen Hunze 110 kV
Groningen West;GDO, Noordelijk deelgebied;3;3;Station Groningen v. Heemskerkstraat 110
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Haaksbergen 110 kV
Noord-Holland;Noord-Holland;3;0;Station Haarlemmermeer 150
Noord-Brabant;Noord-Brabant;3;3;Station Hapert 150 kV
Limburg;Limburg;3;3;Station Haps 150 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Harculo 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Hardenberg 110 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Harderwijk 150 (CBL)
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Harselaar 150 (CBL)
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Hattem 150 (CBL)
Friesland;Friesland;1;3;Station Heerenveen 110
Limburg;Limburg;3;3;Station Helden 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Helmond Oost 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Helmond Zuid 150 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Hengelo Boldershoek 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Hengelo Oele 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Hengelo Weideweg 110 kV
Friesland;Friesland;1;3;Station Herbayum 110
Drenthe;GDO, Zuidelijk deelgebied;1;3;Station Hoogeveen 110 kV
Noord-Holland;Noord-Holland;3;0;Station Amsterdam Hoogte Kadijk 150
Limburg;Limburg;3;3;Station Horst 150 kV
Limburg;Limburg;3;3;Station Huskensweg 150 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station IJsselmuiden 110kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Kampen 110 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Kattenberg 150
Limburg;Limburg;3;3;Station Kelpen 150 kV
Drenthe;GDO, Noordelijk deelgebied;1;3;Station Klazienaveen Zwet 110kV
Zuid-Holland;Zuid-Holland;2;0;Station Krimpen a/d IJssel 150 kV
Groningen Oost;GDO, Noordelijk deelgebied;1;3;Station Kropswolde 110 kV
Zeeland;Zeeland;3;0;Station Kruiningen 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Langerak 150
Friesland;Friesland;1;3;Station Leeuwarden 110
Zuid-Holland;Zuid-Holland;2;0;Station Leiden 150 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Lelystad 150 (CBL)
Friesland;Friesland;1;3;Station Lemmer 110
Limburg;Limburg;3;3;Station Limmel 150 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Lochem 150
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Losser 110 kV
Friesland;Friesland;1;3;Station Louwsmeer 110
Noordoostpolder;Noordoostpolder;0;3;Station Luttelgeest Kalenbergerweg 110kV
Limburg;Limburg;3;3;Station Lutterade 150 kV
Limburg;Limburg;3;3;Station Maalbroek 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Maarheeze 150 kV
Limburg;Limburg;3;3;Station Maasbracht 150 kV
Maasvlakte;Maasvlakte;1;0;Station Maasvlakte 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Almere Markerkant 150 (CBL)
Friesland;Friesland;1;3;Station Marnezijl 110
Drenthe;GDO, Noordelijk deelgebied;1;3;Station Marsdijk 110 kV
Groningen Oost;GDO, Noordelijk deelgebied;1;3;Station Meeden 110 kV
Groningen 220/20;Groningen 220/20;0;1;Station Meeden 220
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Meppel 110 kV
Haven van Rotterdam;Haven van Rotterdam;3;0;Station Merseyweg 150
Limburg;Limburg;3;3;Station Merum 150 kV
Zeeland;Zeeland;3;0;Station Middelburg 150
Haven van Rotterdam;Haven van Rotterdam;3;0;Station Middelharnis 150
Noord-Holland;Noord-Holland Noord;3;3;Station Middenmeer 150
Noord-Brabant;Noord-Brabant;3;3;Station Moerdijk 150 kV
Drenthe;GDO, Noordelijk deelgebied;1;3;Station Musselkanaal Zandberg 110 kV
Limburg;Limburg;3;3;Station Nederweert 150 kV
Noord-Holland;Noord-Holland;3;0;Station Nieuwe Meer 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Nieuwegein 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Nijmegen 150
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Nijverdal 110 kV
Overijssel;GDO, Zuidelijk deelgebied;1;3;Station NOP Voorsterweg 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Oldenzaal 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Olst 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Ommen Dante 110 kV
Zuid-Holland;Zuid-Holland;2;0;Station Ommoord 150 kV
Zeeland;Zeeland;3;0;Station Oostburg 150
Noord-Brabant;Noord-Brabant;3;3;Station Oosteind 150 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Oosterhout 150 kV
Friesland;Friesland;1;3;Station Oosterwolde 110
Noord-Brabant;Noord-Brabant;3;3;Station Oss 150 kV
Noord-Holland;Noord-Holland Noord;3;3;Station Oterleek 150
Friesland;Friesland;1;3;Station Oudehaske 110
Haven van Rotterdam;Haven van Rotterdam;3;0;Station Oudeland 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Oudenrijn 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Pampus 150 (CBL)
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Philips 150
Noord-Brabant;Noord-Brabant;3;3;Station Princenhage 150 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Raalte 110 kV
Friesland;Friesland;1;3;Station Rauwerd 110
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Renkum 150
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Rijssen 110 kV
Zuid-Holland;Zuid-Holland;2;0;Station Rijswijk 150 kV
Zeeland;Zeeland;3;0;Station Rilland 150
Limburg;Limburg;3;3;Station Roermond 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Roosendaal 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Roosendaal Borchwerf 150
Zuid-Holland;Zuid-Holland;2;0;Station Rotterdam Centrum 150 kV
Zuid-Holland;Zuid-Holland;2;0;Station Rotterdam Marconistraat 150 kV
Zuid-Holland;Zuid-Holland;2;0;Station Rotterdam Waalhaven 150 kV
Zuid-Holland;Zuid-Holland;2;0;Station Rotterdam Zuidwijk 150 kV
Zuid-Holland;Zuid-Holland;2;0;Station Sassenheim 150 kV
Groningen Oost;GDO, Noordelijk deelgebied;1;3;Station Scheemda 110 kV
Friesland;Friesland;1;3;Station Schenkenschans 110kV
Limburg;Limburg;3;3;Station Schoonbron 150 kV
Drenthe;GDO, Noordelijk deelgebied;1;3;Station Schoonebeek 110 kV
Groningen West;GDO, Noordelijk deelgebied;3;3;Station Slochteren Dellerweerden 110 kV
Noord-Holland;Noord-Holland;3;0;Station 's Graveland 150
Zuid-Holland;Zuid-Holland;2;0;Station s Gravenhage 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station s Hertogenbosch Noord 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station s Hertogenbosch West 150 kV
Friesland;Friesland;1;3;Station Sneek 110
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Soest 150
Groningen Oost;GDO, Noordelijk deelgebied;1;3;Station Stadskanaal 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Steenwijk 110 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Teersdijk 150
Zeeland;Zeeland;3;0;Station Terneuzen 150
Limburg;Limburg;3;3;Station Terwinselen 150 kV
Haven van Rotterdam;Haven van Rotterdam;3;0;Station Theemsweg 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Tiel 150
Noord-Brabant;Noord-Brabant;3;3;Station Tilburg Noord 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Tilburg West 150 kV
Noord-Brabant;Noord-Brabant;3;3;Station Tilburg Zuid 150 kV
Haven van Rotterdam;Haven van Rotterdam;3;0;Station Tinte 150
Limburg;Limburg;3;3;Station Treebeek 150 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Tubbergen 110 kV
Noord-Brabant;Noord-Brabant;3;3;Station Uden 150 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Ulft 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Utrecht Lage Weide 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Merwedekanaal
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Vaassen 150
Groningen Oost;GDO, Noordelijk deelgebied;1;3;Station Veendam 110 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Veenendaal 't Goeie Spoor 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Veenendaal Wageningselaan 150
Drenthe;GDO, Noordelijk deelgebied;1;3;Station Veenoord 110 kV
Noord-Holland;Noord-Holland Noord;3;3;Station Velsen 150
Limburg;Limburg;3;3;Station Venray 150 kV
Noord-Holland;Noord-Holland;3;0;Station Venserweg 150
Groningen West;GDO, Noordelijk deelgebied;3;3;Station Vierverlaten 110 kV
Noord-Holland;Noord-Holland;3;0;Station Vijfhuizen 150
Zeeland;Zeeland;3;0;Station Vlissingen 150
Zeeland;Zeeland;3;0;Station Vlissingen Oost 150 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Vollenhove 110 kV
Zuid-Holland;Zuid-Holland;2;0;Station Voorburg 150 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Vroomshoop 110 kV
Noord-Brabant;Noord-Brabant;3;3;Station Waalwijk 150 kV
Noord-Holland;Noord-Holland;3;0;Station Waarderpolder 150
Noord-Holland;Noord-Holland;3;0;Station Watergraafsmeer 150
Zuid-Holland;Zuid-Holland;2;0;Station Wateringen 150 kV
Limburg;Limburg;3;3;Station Weertheide 150 kV
Groningen 220/20;Groningen 220/20;0;0;Station Weiwerd 220
Zeeland;Zeeland;3;0;Station Westdorpe 150
Zuid-Holland;Zuid-Holland;0;0;Station Westerlee 150 kV
Noord-Holland;Noord-Holland Noord;3;3;Station Westwoud 150
Noord-Holland;Noord-Holland Noord;3;3;Station Wijdewormer 150
Drenthe;GDO, Zuidelijk deelgebied;1;3;Station Wijster Oosterscheveld 110 kV
Zeeland;Zeeland;3;0;Station Willem Anna Polder 150
Groningen Oost;GDO, Noordelijk deelgebied;1;3;Station Winschoten 110 kV
Groningen West;GDO, Noordelijk deelgebied;3;3;Station Winsum Ranum 110 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Winterswijk 150
Noord-Brabant;Noord-Brabant;3;3;Station Woensdrecht 150 kV
Friesland;Friesland;1;3;Station Wolvega 110
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Woudhuis 150
Zuid-Holland;Zuid-Holland;2;0;Station Ypenburg 150 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Zaltbommel 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Zeewolde 150 (CBL)
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Zevenaar 150
Noord-Brabant;Noord-Brabant;3;3;Station Zevenbergschenhoek 150 kV
Drenthe;GDO, Noordelijk deelgebied;1;3;Station Zeyerveen 110 kV
Zuid-Holland;Zuid-Holland;2;0;Station Zoetermeer 150 kV
Noord-Holland;Noord-Holland;3;0;Station Zorgvlied 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Zuidbroek 150
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Zuiderveld 150 (CBL)
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Zuilichem 150 kV
Flevopolder, Utrecht en Gelderland;Flevopolder, Utrecht en Gelderland;3;3;Station Zutphen 150
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Zwartsluis 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Zwolle Frankhuis 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Zwolle Hessenweg 110 kV
Overijssel;GDO, Zuidelijk deelgebied;3;3;Station Zwolle Weteringkade 110 kV
